metodo,dx,dt,error_A_inf,orden_A_inf,error_A_l2,orden_A_l2,error_I_inf,orden_I_inf,error_I_l2,orden_I_l2
Euler,0.8,0.06329113924050633,0.008006581442458138,,0.013569595158210688,,0.030935804653559273,,0.047088398747711785,
Euler,0.4,0.01597444089456869,0.002267596639844993,1.8200223523902739,0.0036965477829475775,1.876127211963518,0.00870736959436158,1.8289686929459963,0.012363493677065953,1.929285186543008
Euler,0.2,0.004,0.0005868246153376555,1.9501627428228188,0.000946349611079383,1.965733398547669,0.0022792398850604023,1.9336841883763176,0.00310652731958043,1.992711830867762
IMEX,0.8,0.06329113924050633,0.00880194580926541,,0.013815103406134985,,0.021319450734043954,,0.033476838903485635,
IMEX,0.4,0.01597444089456869,0.002450766763292367,1.844589298474439,0.0037963859822340547,1.8635477756435104,0.005420618802363997,1.9756408095081597,0.00869695756243103,1.9445806063649713
IMEX,0.2,0.004,0.0006401345436504169,1.9367861229512182,0.0009739973231882739,1.9626369675119053,0.0015861981425091543,1.772884556040911,0.002282016423436099,1.9302016197894598
