id_segmento,x0,y0,x1,y1,id_rama
0,0.0,75.0,1.0,75.0,0
1,1.0,75.0,1.9999994214838595,75.0010756541946,0
2,1.9999994214838595,75.0010756541946,2.97418503085985,74.77532712488659,0
3,2.97418503085985,74.77532712488659,3.95839222739911,74.59830680322737,0
4,3.95839222739911,74.59830680322737,4.880541987100523,74.21147373757421,0
5,4.880541987100523,74.21147373757421,5.8732888702376,74.09125050345692,0
6,5.8732888702376,74.09125050345692,6.872242083867583,74.13699410386539,0
7,6.872242083867583,74.13699410386539,7.863115841586254,74.00220094282047,0
8,7.863115841586254,74.00220094282047,8.815916342863263,73.69860383353534,0
9,8.815916342863263,73.69860383353534,9.780291361971091,73.43406494694062,0
10,9.780291361971091,73.43406494694062,10.776846002801877,73.35112612708753,0
11,10.776846002801877,73.35112612708753,11.767211229710453,73.48960615211035,0
12,11.767211229710453,73.48960615211035,12.767089420402716,73.47399834066965,0
13,12.767089420402716,73.47399834066965,13.754588625371849,73.6316223242043,0
14,13.754588625371849,73.6316223242043,14.700889776936842,73.95490877697763,0
15,14.700889776936842,73.95490877697763,15.693218439935404,74.07853654324188,0
16,15.693218439935404,74.07853654324188,16.675034855944464,74.26836943094874,0
17,16.675034855944464,74.26836943094874,17.674663343822,74.29562537018532,0
18,17.674663343822,74.29562537018532,18.638740267750343,74.03000216948766,0
19,18.638740267750343,74.03000216948766,19.638398242956214,74.05615427470507,0
20,19.638398242956214,74.05615427470507,20.62058150539951,74.24407989556674,0
21,20.62058150539951,74.24407989556674,21.524060579896695,74.67271209448059,0
22,21.524060579896695,74.67271209448059,22.411575163315167,75.13349172100452,0
23,21.524060579896695,74.67271209448059,22.062280942104287,75.51551624830586,1
24,22.062280942104287,75.51551624830586,22.777345979514735,76.21457418029233,1
25,22.411575163315167,75.13349172100452,22.709066116745852,76.08821635807371,2
26,22.777345979514735,76.21457418029233,23.57521143750912,76.81740973908047,1
27,22.709066116745852,76.08821635807371,23.16193839563428,76.9797917609502,2
28,23.57521143750912,76.81740973908047,24.36611014010138,77.42935683012502,1
29,23.16193839563428,76.9797917609502,23.629421052774813,77.86379400374874,2
30,24.36611014010138,77.42935683012502,25.255457107680577,77.88658978088172,1
31,23.629421052774813,77.86379400374874,23.8168482960581,78.84607249199696,2
32,24.36611014010138,77.42935683012502,25.364923682181974,77.38065869713805,3
33,23.629421052774813,77.86379400374874,24.282877050943544,78.62075850652103,4
34,25.255457107680577,77.88658978088172,26.223666395821084,78.13673128954922,1
35,23.8168482960581,78.84607249199696,23.90364351917038,79.84229866573709,2
36,25.364923682181974,77.38065869713805,26.35405311683064,77.52770617760476,3
37,24.282877050943544,78.62075850652103,24.860131276586678,79.43732299201935,4
38,23.90364351917038,79.84229866573709,24.05976753031398,80.8300361273859,2
39,26.35405311683064,77.52770617760476,27.346312702873703,77.65188715000252,3
40,24.860131276586678,79.43732299201935,25.478041666944357,80.22357152110415,4
41,27.346312702873703,77.65188715000252,28.339363228384176,77.76957595058852,3
42,25.478041666944357,80.22357152110415,25.957374896775747,81.10120450520365,4
43,25.478041666944357,80.22357152110415,25.454339928806633,81.22329059544916,5
44,28.339363228384176,77.76957595058852,29.332721483621675,77.88463844122518,3
45,25.957374896775747,81.10120450520365,26.66689477544495,81.80588992563837,4
46,25.454339928806633,81.22329059544916,25.302450710612852,82.21168811942242,5
47,29.332721483621675,77.88463844122518,30.310810903581675,78.0928236629925,3
48,26.66689477544495,81.80588992563837,27.18960120063279,82.65840267807516,4
49,25.302450710612852,82.21168811942242,25.01932119129701,83.17076980274871,5
50,30.310810903581675,78.0928236629925,31.31074014104637,78.1047198835382,3
51,25.01932119129701,83.17076980274871,25.010519061183597,84.17073106325107,5
52,31.31074014104637,78.1047198835382,32.30348114017337,78.22499169508326,3
53,25.010519061183597,84.17073106325107,25.253135902254304,85.14085325577574,5
54,32.30348114017337,78.22499169508326,33.293162844595315,78.08170832573265,3
55,25.253135902254304,85.14085325577574,25.390064441619653,86.1314341838716,5
56,33.293162844595315,78.08170832573265,34.258666675847486,77.82131947835745,3
57,25.390064441619653,86.1314341838716,25.73914754287951,87.06852595547927,5
58,34.258666675847486,77.82131947835745,35.245577715919005,77.66005386210603,3
59,25.73914754287951,87.06852595547927,26.07952646181538,88.0088143110086,5
60,34.258666675847486,77.82131947835745,35.03272389969903,77.188203837891,6
61,26.07952646181538,88.0088143110086,26.19337239314196,89.00231272767589,5
62,35.03272389969903,77.188203837891,35.91077327145343,76.70963377952785,6
63,35.03272389969903,77.188203837891,35.553851932233734,76.3347253239807,7
64,26.19337239314196,89.00231272767589,26.32316631318538,89.99385371942547,5
65,35.91077327145343,76.70963377952785,36.669212495907495,76.0578900087026,6
66,35.553851932233734,76.3347253239807,36.00684827149601,75.44321294795053,7
67,26.19337239314196,89.00231272767589,25.810006729281533,89.92590937544635,8
68,36.669212495907495,76.0578900087026,37.266133493048166,75.25558998802917,6
69,36.00684827149601,75.44321294795053,36.41248261307569,74.52917751049134,7
70,25.810006729281533,89.92590937544635,25.233631695307945,90.74309467891916,8
71,36.669212495907495,76.0578900087026,36.78501123314694,75.06461731077229,9
72,37.266133493048166,75.25558998802917,37.77326150679065,74.39371924500699,6
73,36.41248261307569,74.52917751049134,36.751707476744066,73.58847219432204,7
74,25.233631695307945,90.74309467891916,24.706062104108476,91.59260649545948,8
75,36.78501123314694,75.06461731077229,37.042813469967804,74.09841960497386,9
76,37.77326150679065,74.39371924500699,38.4713668572836,73.67772418942832,6
77,36.751707476744066,73.58847219432204,37.352256289311256,72.78888409803487,7
78,24.706062104108476,91.59260649545948,23.947113369588415,92.24375687622447,8
79,37.042813469967804,74.09841960497386,37.02205824480079,73.09863501786108,9
80,37.042813469967804,74.09841960497386,37.52473121126829,73.22220314163854,10
81,37.352256289311256,72.78888409803487,37.97296002583421,72.00483890069836,7
82,23.947113369588415,92.24375687622447,23.35602376627925,93.05036277805002,8
83,37.02205824480079,73.09863501786108,36.7910086937035,72.1256930334973,9
84,37.52473121126829,73.22220314163854,38.04704030921906,72.36944690085349,10
85,38.4713668572836,73.67772418942832,39.36474602242126,73.22842065361101,11
86,23.35602376627925,93.05036277805002,22.816387120228722,93.89226080645923,8
87,36.7910086937035,72.1256930334973,36.370226919327564,71.21853114146643,9
88,38.04704030921906,72.36944690085349,38.28570433283796,71.39834470034623,10
89,39.36474602242126,73.22842065361101,40.291652208484926,72.85312753851709,11
90,22.816387120228722,93.89226080645923,22.189522907220116,94.67138933144668,8
91,36.370226919327564,71.21853114146643,35.741651519575846,70.44078248873409,9
92,38.28570433283796,71.39834470034623,38.43360358555223,70.40934226807087,10
93,40.291652208484926,72.85312753851709,41.2347450420699,72.52059798007053,11
94,22.189522907220116,94.67138933144668,21.558555893303943,95.44719899067354,8
95,35.741651519575846,70.44078248873409,35.28772803578876,69.54974182138686,9
96,38.43360358555223,70.40934226807087,38.71464109110193,69.4496454823753,10
97,41.2347450420699,72.52059798007053,42.04465091097606,71.93403810801026,11
