etiqueta,id_rama,id_rama_padre,generacion,n_puntas
principal_dashed,9,8,6,1
principal_dashed,11,9,7,1
principal_dashed,18,11,8,1
principal_dashed,24,18,9,1
principal_dashed,40,24,10,1
principal_dashed,50,40,11,1
principal_dashed,54,50,12,1
principal_dashed,59,54,13,1
principal_dashed,60,59,14,1
principal_dashed,61,60,15,1
principal_dashed,62,61,16,1
principal_dashed,63,62,17,1
principal_dashed,66,63,18,1
principal_dashed,68,66,19,1
principal_dashed,70,68,20,1
principal_dashed,72,70,21,1
principal_dashed,74,72,22,1
principal_dashed,75,74,23,1
principal_dashed,79,75,24,1
principal_dashed,80,79,25,1
principal_dashed,82,80,26,1
principal_dashed,88,82,27,1
principal_dashed,95,88,28,1
principal_dashed,109,95,29,1
principal_dashed,118,109,30,1
principal_dashed,125,118,31,1
principal_dashed,134,125,32,1
principal_dashed,139,134,33,1
principal_dashed,149,139,34,1
principal_dashed,151,149,35,1
principal_dashed,157,151,36,1
principal_dashed,132,125,32,1
principal_dashed,135,132,33,1
principal_dashed,189,135,34,1
principal_dashed,207,189,35,1
principal_dashed,215,207,36,1
principal_dashed,202,189,35,1
principal_dashed,199,189,35,1
principal_dashed,212,199,36,1
principal_dashed,194,189,35,1
principal_dashed,204,194,36,1
principal_dashed,214,204,37,1
principal_dashed,230,214,38,1
principal_dashed,248,230,39,1
principal_dashed,259,248,40,1
principal_dashed,267,259,41,1
principal_dashed,282,267,42,1
principal_dashed,263,259,41,1
principal_dashed,94,88,28,1
principal_dashed,103,94,29,1
principal_dashed,110,103,30,1
principal_dashed,113,110,31,1
principal_dashed,121,113,32,1
principal_dashed,127,121,33,1
principal_dashed,129,127,34,1
principal_dashed,141,129,35,1
principal_dashed,150,141,36,1
principal_dashed,165,150,37,1
principal_dashed,177,165,38,1
principal_dashed,183,177,39,1
principal_dashed,172,165,38,1
principal_dashed,181,172,39,1
principal_dashed,190,181,40,1
principal_dashed,200,190,41,1
principal_dashed,195,190,41,1
principal_dashed,188,181,40,1
principal_dashed,198,188,41,1
principal_dashed,193,188,41,1
principal_dashed,220,193,42,1
principal_dashed,231,220,43,1
principal_dashed,236,231,44,1
principal_dashed,239,236,45,1
principal_dashed,247,239,46,1
principal_dashed,243,239,46,1
principal_dashed,233,231,44,1
principal_dashed,237,233,45,1
principal_dashed,246,237,46,1
principal_dashed,152,150,37,1
principal_dashed,155,152,38,1
principal_dashed,112,110,31,1
principal_dashed,115,112,32,1
principal_dashed,114,112,32,1
principal_dashed,117,114,33,1
principal_dashed,119,117,34,1
principal_dashed,122,119,35,1
principal_dashed,131,122,36,1
principal_dashed,137,131,37,1
principal_dashed,142,137,38,1
principal_dashed,153,142,39,1
principal_dashed,160,153,40,1
principal_dashed,180,160,41,1
principal_dashed,185,180,42,1
principal_dashed,206,185,43,1
principal_dashed,159,153,40,1
principal_dashed,170,159,41,1
principal_dashed,176,170,42,1
principal_dashed,179,176,43,1
principal_dashed,187,179,44,1
principal_dashed,174,170,42,1
principal_dashed,167,159,41,1
principal_dashed,178,167,42,1
principal_dashed,164,159,41,1
principal_dashed,175,164,42,1
principal_dashed,182,175,43,1
principal_dashed,191,182,44,1
principal_dashed,209,191,45,1
principal_dashed,222,209,46,1
principal_dashed,249,222,47,1
principal_dashed,257,249,48,1
principal_dashed,262,257,49,1
principal_dashed,268,262,50,1
principal_dashed,277,268,51,1
principal_dashed,279,277,52,1
principal_dashed,278,277,52,1
principal_dashed,261,257,49,1
principal_dashed,289,261,50,1
principal_dashed,203,191,45,1
principal_dashed,217,203,46,1
principal_dashed,219,217,47,1
principal_dashed,213,203,46,1
principal_dashed,229,213,47,1
principal_dashed,241,229,48,1
principal_dashed,250,241,49,1
principal_dashed,258,250,50,1
principal_dashed,238,229,48,1
principal_dashed,226,213,47,1
principal_dashed,201,191,45,1
principal_dashed,205,201,46,1
principal_dashed,218,205,47,1
principal_dashed,225,218,48,1
principal_dashed,208,205,47,1
principal_dashed,196,191,45,1
principal_dashed,221,196,46,1
principal_dashed,184,182,44,1
principal_dashed,197,184,45,1
principal_dashed,210,197,46,1
principal_dashed,223,210,47,1
principal_dashed,244,223,48,1
principal_dashed,253,244,49,1
principal_dashed,242,223,48,1
principal_dashed,251,242,49,1
principal_dashed,256,251,50,1
principal_dashed,254,251,50,1
principal_dashed,255,254,51,1
principal_dashed,260,255,52,1
principal_dashed,270,260,53,1
principal_dashed,274,270,54,1
principal_dashed,192,184,45,1
principal_dashed,186,184,45,1
principal_dashed,158,153,40,1
principal_dashed,163,158,41,1
principal_dashed,171,163,42,1
principal_dashed,161,158,41,1
principal_dashed,168,161,42,1
principal_dashed,216,168,43,1
principal_dashed,232,216,44,1
principal_dashed,240,232,45,1
principal_dashed,264,240,46,1
principal_dashed,271,264,47,1
principal_dashed,285,271,48,1
principal_dashed,291,285,49,1
principal_dashed,269,264,47,1
principal_dashed,290,269,48,1
principal_dashed,227,216,44,1
principal_dashed,224,216,44,1
principal_dashed,234,224,45,1
principal_dashed,245,234,46,1
principal_dashed,252,245,47,1
principal_dashed,266,252,48,1
principal_dashed,273,266,49,1
principal_dashed,276,273,50,1
principal_dashed,281,276,51,1
principal_dashed,287,281,52,1
principal_dashed,286,281,52,1
principal_dashed,288,286,53,1
principal_dashed,284,281,52,1
principal_dashed,272,266,49,1
principal_dashed,275,272,50,1
principal_dashed,280,275,51,1
principal_dashed,265,252,48,1
principal_dashed,283,265,49,1
principal_dashed,156,153,40,1
principal_dashed,166,156,41,1
principal_dashed,162,156,41,1
principal_dashed,123,122,36,1
principal_dashed,126,123,37,1
principal_dashed,133,126,38,1
principal_dashed,138,133,39,1
principal_dashed,148,138,40,1
principal_dashed,154,148,41,1
principal_dashed,169,154,42,1
principal_dashed,173,169,43,1
principal_dashed,136,133,39,1
