n_branches,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
1.0,1.0,0.0,0.0,10,1.0,0.16026666666666667,0.16026666666666667,1
2.0,0.5916561122056477,0.1189364360293737,0.0376110034635734,10,,,,
3.0,0.5916561122056477,0.1189364360293737,0.0376110034635734,10,,,,
3.7351598173515983,,,,,0.5086747198127773,0.08189461686965697,0.08189461686965697,1
4.0,0.49281664686076454,0.1608846502518595,0.05087619353554583,10,,,,
5.0,0.49281664686076454,0.1608846502518595,0.05087619353554583,10,,,,
6.0,0.4428836220825385,0.19018216778197924,0.060140882053934745,10,,,,
6.470319634703197,,,,,0.4398266680323666,0.0711311519854549,0.0711311519854549,1
7.0,0.43663362208253853,0.19532182345627597,0.06176618388591336,10,,,,
8.0,0.4006320949432404,0.20293072389393188,0.06417232947315783,10,,,,
9.0,0.3960866403977859,0.20115537408161205,0.06361091456810952,10,,,,
9.205479452054796,,,,,0.39195684004947984,0.06367526791116153,0.06367526791116153,1
10.0,0.3683919301372862,0.21305287087359687,0.06737323339983137,10,,,,
11.0,0.3683919301372862,0.21305287087359687,0.06737323339983137,10,,,,
11.940639269406393,,,,,0.3593790371380949,0.0586449700603492,0.0586449700603492,1
12.0,0.35896210557588265,0.21906158391595135,0.06927335530185137,10,,,,
13.0,0.35441665103042813,0.21938877525045178,0.06937682228662051,10,,,,
14.0,0.3488438956124715,0.22273342088626924,0.07043449210415303,10,,,,
14.67579908675799,,,,,0.3488438956124715,0.057180240077902275,0.057180240077902275,1
15.0,0.3488438956124715,0.22273342088626924,0.07043449210415303,10,,,,
16.0,0.3403299637239266,0.22928228660903516,0.07250542528160754,10,,,,
17.41095890410959,,,,,0.3110951151544266,0.05121960889543438,0.05121960889543438,1
18.0,0.30532996372392657,0.18686482925725378,0.05909184750313922,10,,,,
19.0,0.30532996372392657,0.18686482925725378,0.05909184750313922,10,,,,
20.0,0.29708080547476834,0.18892585699820313,0.05974360170135836,10,,,,
20.14611872146119,,,,,0.29664423658203504,0.04905673918865064,0.04905673918865064,1
22.0,0.29337710177106463,0.19142960241096063,0.06053535551990957,10,,,,
22.881278538812786,,,,,0.2885714614489874,0.047932202895242394,0.047932202895242394,1
24.0,0.27986478562716954,0.19803816138677943,0.06262516536142328,10,,,,
25.616438356164384,,,,,0.2663939436237838,0.044442781389217194,0.044442781389217194,1
26.0,0.264309230071614,0.1962741671015006,0.06206734138932308,10,,,,
28.0,0.25873647465365723,0.20017753438103134,0.0633016945040723,10,,,,
28.35159817351598,,,,,0.2575511683888857,0.043155383538296704,0.043155383538296704,1
30.0,0.25048731640449906,0.2042702565697492,0.0645959268987381,10,,,,
31.086757990867582,,,,,0.2395032250252141,0.04030595034920523,0.04030595034920523,1
32.0,0.23344186185904453,0.1770348822651797,0.05598334532577169,10,,,,
33.82191780821918,,,,,0.23344186185904456,0.039456151621392266,0.039456151621392266,1
35.0,0.23344186185904453,0.1770348822651797,0.05598334532577169,10,,,,
36.55707762557078,,,,,0.23344186185904456,0.03962641850145749,0.03962641850145749,1
38.0,0.23344186185904453,0.1770348822651797,0.05598334532577169,10,,,,
39.29223744292238,,,,,0.22707932392301136,0.03871201308473815,0.03871201308473815,1
41.0,0.21206028291167608,0.1556534455777392,0.049221941367871926,10,,,,
42.02739726027397,,,,,0.20368558568262976,0.03487246038273421,0.03487246038273421,1
44.0,0.19137314840875214,0.1400300052040439,0.04428137572100099,10,,,,
44.76255707762557,,,,,0.19013454062887641,0.032691102027907745,0.032691102027907745,1
47.497716894977174,,,,,0.18759385020254715,0.032391090589250035,0.032391090589250035,1
48.0,0.18720648174208548,0.14254038700493799,0.04507522814974705,10,,,,
50.23287671232877,,,,,0.18530918560477444,0.03213176662320302,0.03213176662320302,1
52.0,0.18457490279471706,0.14474071163386062,0.04577103189166309,10,,,,
52.96803652968037,,,,,0.18457490279471706,0.032139069832139475,0.032139069832139475,1
55.70319634703196,,,,,0.18457490279471706,0.03227369432745032,0.03227369432745032,1
56.0,0.18457490279471706,0.14474071163386062,0.04577103189166309,10,,,,
58.43835616438356,,,,,0.1830068604373035,0.0321329963608381,0.0321329963608381,1
60.0,0.18163372632412883,0.14695044013547567,0.04646980939923255,10,,,,
61.173515981735164,,,,,0.1809109565449998,0.03189694219159372,0.03189694219159372,1
63.90867579908676,,,,,0.17936711293896818,0.03175556864885749,0.03175556864885749,1
65.0,0.17869254985354055,0.14964858652959007,0.04732303820582973,10,,,,
66.64383561643837,,,,,0.17769510071771163,0.03158915827005456,0.03158915827005456,1
69.37899543378995,,,,,0.17565913090154633,0.03135534202177326,0.03135534202177326,1
70.0,0.17498884614983687,0.1526207977730039,0.04826293392746462,10,,,,
72.11415525114155,,,,,0.1686396488941488,0.030225358708890652,0.030225358708890652,1
74.84931506849315,,,,,0.15839773237456703,0.02850522698703441,0.02850522698703441,1
76.0,0.1569332905942813,0.1433447612124153,0.045329593608419164,10,,,,
77.58447488584476,,,,,0.1569332905942813,0.028356149679849008,0.028356149679849008,1
80.31963470319636,,,,,0.1569332905942813,0.02847061304796587,0.02847061304796587,1
82.0,0.1569332905942813,0.1433447612124153,0.045329593608419164,10,,,,
83.05479452054794,,,,,0.1569332905942813,0.02858507641608273,0.02858507641608273,1
85.78995433789954,,,,,0.1569332905942813,0.0286995397841996,0.0286995397841996,1
88.52511415525115,,,,,0.1569332905942813,0.028814003152316463,0.028814003152316463,1
89.0,0.1569332905942813,0.1433447612124153,0.045329593608419164,10,,,,
91.26027397260275,,,,,0.15349519168076733,0.028294700867926504,0.028294700867926504,1
93.99543378995435,,,,,0.14456495829825777,0.026753978918673618,0.026753978918673618,1
96.0,0.13868413234512306,0.14061386004582174,0.04446600683329451,10,,,,
96.73059360730593,,,,,0.13696294464130482,0.02544700632590424,0.02544700632590424,1
99.46575342465754,,,,,0.13032275627957543,0.024308347975859002,0.024308347975859002,1
102.20091324200914,,,,,0.12474735973791751,0.02335938931533203,0.02335938931533203,1
104.0,0.12243413234512306,0.14086715173596162,0.044546104698618076,10,,,,
104.93607305936074,,,,,0.1216878231487672,0.02287523631723571,0.02287523631723571,1
107.67123287671234,,,,,0.1201775566188077,0.022678986575078015,0.022678986575078015,1
110.40639269406392,,,,,0.11890055006279245,0.02252472289585289,0.02252472289585289,1
112.0,0.11788867779966852,0.14253454366295804,0.045073380322766664,10,,,,
113.14155251141553,,,,,0.1168648100098613,0.02222430721183576,0.02222430721183576,1
115.87671232876713,,,,,0.11352085301830307,0.0216711826772,0.0216711826772,1
118.61187214611873,,,,,0.11004224696474672,0.021087377361733918,0.021087377361733918,1
121.0,0.10788867779966851,0.14688046055619877,0.04644767991321101,10,,,,
121.34703196347033,,,,,0.1076836405912142,0.020713939875064917,0.020713939875064917,1
