id_rama,id_rama_padre,generacion,n_puntas,x_creacion,y_creacion,paso_creacion,x_dendro,y_dendro
0,,0,1,22.411575163315167,75.13349172100452,0,39.98676893446181,-0.0
1,0,1,1,26.223666395821084,78.13673128954922,22,16.97353786892361,-1.0
2,0,1,1,24.05976753031398,80.8300361273859,23,63.0,-1.0
3,1,2,1,35.245577715919005,77.66005386210603,26,16.97353786892361,-2.0
4,2,2,1,27.18960120063279,82.65840267807516,26,63.0,-2.0
5,4,3,1,26.32316631318538,89.99385371942547,29,63.0,-3.0
6,3,3,1,38.4713668572836,73.67772418942832,36,16.97353786892361,-3.0
7,6,4,1,37.97296002583421,72.00483890069836,37,0.0,-4.0
8,5,4,1,4.072664216452103,108.06112491246536,38,63.0,-4.0
9,6,4,1,31.24060729363931,44.33642464792258,39,5.34375,-4.0
10,9,5,1,52.11735813609096,35.074283313384825,41,3.4375,-5.0
11,6,4,1,43.6906581921994,70.79974779250777,42,45.576863606770836,-4.0
12,11,5,1,46.232044877118504,67.89659618886559,46,45.576863606770836,-5.0
13,12,6,1,46.52314579588467,64.37680871441663,49,45.576863606770836,-6.0
14,13,7,1,49.05438537468509,64.1208576854746,51,45.576863606770836,-7.0
15,14,8,1,55.818863476810634,63.24415098086537,56,45.576863606770836,-8.0
16,15,9,1,55.945989215999084,57.95845808252778,63,45.576863606770836,-9.0
17,16,10,1,57.40806866842413,56.29628492261586,65,45.576863606770836,-10.0
18,8,5,1,0.8138704542528351,111.97603105636051,67,63.0,-5.0
19,17,11,1,60.634616604570596,55.97579055343637,67,29.653727213541668,-11.0
20,9,5,1,14.678494998752264,37.542796496318225,71,7.25,-5.0
21,17,11,1,59.212004167967265,50.71928218354368,71,61.5,-11.0
22,18,6,1,0.47887825311897125,111.58140538865679,72,63.0,-6.0
23,19,12,1,74.45316482435287,54.24772925978285,72,29.653727213541668,-12.0
24,21,12,1,58.95931324019614,46.01753615975934,76,61.0,-12.0
25,21,12,1,55.89417006889469,43.55422419738513,77,62.0,-12.0
26,25,13,1,46.08384868957354,38.73416825031684,84,62.0,-13.0
27,10,6,1,47.05589439965326,16.20695360638689,85,3.4375,-6.0
28,23,13,1,79.24083618918776,53.28672470088529,86,29.653727213541668,-13.0
29,20,6,1,13.207947044795196,32.63761459069736,89,7.25,-6.0
30,28,14,1,86.73006028543134,41.64628812394879,91,29.653727213541668,-14.0
31,29,7,1,16.470477016918025,29.343062984791956,93,6.5,-7.0
32,29,7,1,9.106199613886295,29.479883895298713,94,8.0,-7.0
33,31,8,1,23.6138430540392,28.808097408078137,94,6.0,-8.0
34,26,14,1,47.11237576292654,30.117270386852887,95,62.0,-14.0
35,31,8,1,12.588817293733747,23.121189589204548,95,7.0,-8.0
36,32,8,1,0.39550440204378,33.90896447674643,95,8.0,-8.0
37,33,9,1,35.218919258887524,19.747238426572316,104,6.0,-9.0
38,34,15,1,49.052842107576694,25.762500838880754,104,62.0,-15.0
39,35,9,1,12.806841330614127,18.069784112920324,104,7.0,-9.0
40,30,15,1,95.71925170430178,31.51987303486116,105,29.653727213541668,-15.0
41,27,7,1,39.76461805295439,19.790755804450654,106,3.4375,-7.0
42,39,10,1,16.46676507201892,17.361290271919827,106,7.0,-10.0
43,42,11,1,16.795100045040677,13.2133314508119,110,7.0,-11.0
44,43,12,1,23.630158966377884,3.3604156615989162,112,7.0,-12.0
45,41,8,1,36.1467236251647,23.101245468367352,114,1.875,-8.0
46,41,8,1,35.834661203343025,24.302664432910337,115,5.0,-8.0
47,45,9,1,40.02932200380923,26.13370038202109,115,1.0,-9.0
48,47,10,1,38.72165166476632,27.79332808627993,117,1.0,-10.0
49,37,10,1,40.3832382692709,19.217725442204177,119,6.0,-10.0
50,40,16,1,106.24216096063779,28.584536229076797,119,29.653727213541668,-16.0
51,45,9,1,30.972777600583278,22.36811667684283,119,2.75,-9.0
52,51,10,1,29.22207251311671,24.332444503574425,121,2.75,-10.0
53,52,11,1,27.503127864565514,27.477382435304154,124,2.75,-11.0
54,44,13,1,22.13774055576029,0.4492870848897358,127,7.0,-13.0
55,50,17,1,113.22984210590718,29.416630599182497,130,29.653727213541668,-17.0
56,53,12,1,21.548568155852987,27.0991135196484,130,2.75,-12.0
57,54,14,1,22.65170410206913,0.38771870423244237,130,7.0,-14.0
58,57,15,1,22.65170410206913,0.38771870423244237,131,7.0,-15.0
59,56,13,1,17.583623752097846,27.932605540619164,134,2.75,-13.0
60,55,18,1,116.76450839513964,25.449167977107294,137,29.653727213541668,-18.0
61,59,14,1,14.883521680148801,25.96827123319957,137,2.75,-14.0
62,61,15,1,12.952437064775594,28.584955135994772,139,2.75,-15.0
63,60,19,1,120.23756430869012,25.39471130763217,140,29.653727213541668,-19.0
64,63,20,1,133.0312261812114,33.566328853113994,141,10.883138020833334,-20.0
65,62,16,1,8.986980427253352,26.357187782556142,143,2.75,-16.0
66,65,17,1,7.980910226843881,27.43346022474652,144,2.0,-17.0
67,63,20,1,124.1730189134555,20.717383220792843,145,48.42431640625,-20.0
68,67,21,1,125.65887008821429,26.409215501862793,146,36.8486328125,-21.0
69,65,17,1,4.123759132629343,27.691408485092726,148,3.5,-17.0
70,69,18,1,4.003193151437464,22.255854077815748,150,3.0,-18.0
71,67,21,1,134.55984227155437,13.85238183677994,151,60.0,-21.0
72,68,22,1,127.49248232245378,31.200115472730005,151,28.0,-22.0
73,68,22,1,129.83492354001993,30.61068253331018,152,45.697265625,-22.0
74,69,18,1,0.009861792851178275,26.70284202833299,152,4.0,-18.0
75,72,23,1,131.3205992336185,29.880589496932547,153,28.0,-23.0
76,74,19,1,0.7472899617319958,24.483322847964512,154,4.0,-19.0
77,70,19,1,2.8998183704440352,17.500641966747192,155,3.0,-19.0
78,73,23,1,130.62131267733005,37.373492195562754,157,45.697265625,-23.0
79,77,20,1,1.522893711480373,16.05539106931743,157,3.0,-20.0
80,64,21,1,139.0419050331973,34.826778944098855,159,10.883138020833334,-21.0
81,71,22,1,133.80455589205596,8.879175283758329,164,60.0,-22.0
82,78,24,1,135.5353804721645,38.651522146480566,164,45.697265625,-24.0
83,80,22,1,141.66875059798258,39.17852398688546,165,9.0,-22.0
84,80,22,1,144.7677780484171,33.08511428499099,166,12.766276041666668,-22.0
85,83,23,1,140.0979102379899,40.91868724639191,166,9.0,-23.0
86,81,23,1,137.85106428148242,6.257365649940969,167,60.0,-23.0
87,82,25,1,138.67806459645263,37.16831501360294,167,45.697265625,-25.0
88,84,23,1,150.09031198247115,37.56824332125039,168,12.766276041666668,-23.0
89,87,26,1,142.5522189254774,40.39676677852328,172,45.697265625,-26.0
90,86,24,1,137.4485554086481,0.3053465529973348,173,60.0,-24.0
91,88,24,1,149.5527454140446,42.83100478640042,177,12.766276041666668,-24.0
92,89,27,1,147.56954771413703,43.56920204252476,178,45.697265625,-27.0
93,91,25,1,146.57642316040926,48.02150983518739,182,12.766276041666668,-25.0
94,92,28,1,152.23928746989284,46.95987049217247,184,45.697265625,-28.0
95,93,26,1,143.3319881360108,51.786770237228005,188,12.766276041666668,-26.0
96,94,29,1,151.12424390997154,54.029405555946106,189,33.51953125,-29.0
97,94,29,1,158.09395304799511,48.03942163027167,190,57.875,-29.0
98,95,27,1,144.3107440064577,54.316089164562825,190,12.766276041666668,-27.0
99,97,30,1,161.0677749261646,46.3968331516472,193,56.75,-30.0
100,98,28,1,146.6328460771085,56.960018784323246,193,10.0,-28.0
101,98,28,1,140.65913231102172,57.01443925229811,194,15.532552083333334,-28.0
102,96,30,1,147.42764644490987,57.677227736655716,196,33.51953125,-30.0
103,97,30,1,168.0095082299943,49.53352164967996,196,59.0,-30.0
104,99,31,1,166.55816635828523,44.28793477776904,196,56.75,-31.0
105,100,29,1,139.457116691518,70.02591428776884,196,10.0,-29.0
