t,x_max,A_max
0.0,7.999999999999999,0.2
0.02,7.999999999999999,0.1944224971586471
0.04,7.999999999999999,0.18931471039363226
0.06,7.999999999999999,0.1846157876301306
0.08,8.0,0.1802752674289646
0.1,7.999999999999999,0.17625091672958973
0.12,8.0,0.17250709264375758
0.14,8.0,0.16901348458019652
0.16,7.999999999999999,0.16574413672426094
0.18,7.999999999999999,0.1626766800615416
0.2,7.999999999999999,0.15979172299030214
0.22,8.0,0.15707236333236027
0.24,7.999999999999999,0.15450379424798566
0.26,7.999999999999999,0.15207298348899317
0.28,8.0,0.14976841044024866
0.3,7.999999999999999,0.1475798490748217
0.32,7.999999999999999,0.14549818767031472
0.34,7.999999999999999,0.14351527817112197
0.36,7.999999999999999,0.14162380962045598
0.38,7.999999999999999,0.13981720125907543
0.4,8.0,0.13808951178924186
0.42,7.999999999999999,0.1364353620007824
0.44,7.999999999999998,0.13484986850104375
0.46,7.999999999999998,0.13332858671865966
0.48,7.999999999999999,0.1318674616896515
0.5,8.0,0.13046278540382988
0.52,8.0,0.12911115970515505
0.54,7.999999999999999,0.1278094639133304
0.56,8.0,0.12655482647440522
0.58,7.999999999999999,0.1253446000624372
0.6,7.999999999999999,0.12417633964766085
0.62,7.999999999999999,0.12304778312328937
0.64,7.999999999999999,0.12195683414631545
0.66,7.999999999999999,0.12090154690004676
0.68,7.999999999999999,0.11988011252965705
0.7000000000000001,7.999999999999999,0.11889084703838142
0.72,8.0,0.11793218046243821
0.74,7.999999999999999,0.11700264716836316
0.76,7.999999999999999,0.11610087713804418
0.78,7.999999999999999,0.11522558812503009
0.8,8.0,0.11437557858121263
0.8200000000000001,8.0,0.11354972126620595
0.84,8.0,0.11274695746304383
0.86,7.999999999999999,0.11196629173349269
0.88,8.0,0.11120678715459015
0.9,7.999999999999998,0.11046756098517972
0.92,7.999999999999998,0.10974778071739265
0.9400000000000001,7.999999999999999,0.10904666047337964
0.96,8.0,0.10836345771223818
0.98,7.999999999999998,0.10769747021611803
1.0,8.0,0.10704803332800736
1.02,8.0,0.10641451741677574
1.04,7.999999999999998,0.10579632554774064
1.06,7.999999999999999,0.10519289133938493
1.08,7.999999999999999,0.10460367698892563
1.1,8.0,0.10402817145126193
1.12,7.999999999999999,0.10346588875744027
1.1400000000000001,8.0,0.10291636646019894
1.16,7.999999999999999,0.10237916419541433
1.18,7.999999999999998,0.10185386234938931
1.2,7.999999999999999,0.10134006082291694
1.22,7.9999999999999964,0.1008373778839359
1.24,7.999999999999998,0.10034544910138156
1.26,7.999999999999997,0.09986392635353886
1.28,7.9999999999999964,0.09939247690483134
1.3,8.0,0.0989307825455428
1.32,8.0,0.09847853878947133
1.34,8.000000000000004,0.09803545412496875
1.36,8.000000000000002,0.09760124931522379
1.3800000000000001,8.000000000000005,0.09717565674401414
1.4000000000000001,8.000000000000009,0.09675841980348146
1.42,8.00000000000001,0.09634929232078147
1.44,8.000000000000018,0.09594803802072956
1.46,8.000000000000023,0.09555443002180525
1.48,8.000000000000032,0.09516825036309971
1.5,8.000000000000044,0.09478928955998886
1.52,8.000000000000064,0.09441734618649661
1.54,8.000000000000087,0.09405222648247695
1.56,8.00000000000012,0.09369374398389281
1.58,8.000000000000167,0.09334171917460658
1.6,8.00000000000023,0.09299597915822067
1.62,8.000000000000306,0.09265635734861992
1.6400000000000001,8.000000000000412,0.09232269317797127
1.6600000000000001,8.000000000000552,0.09199483182103046
1.68,8.00000000000074,0.09167262393469168
1.7,8.000000000000979,0.09135592541179606
1.72,8.000000000001291,0.09104459714828661
1.74,8.000000000001693,0.09073850482286452
1.76,8.000000000002215,0.09043751868836197
1.78,8.000000000002883,0.09014151337410424
1.8,8.000000000003734,0.08985036769858352
1.82,8.000000000004817,0.08956396449181643
1.84,8.000000000006185,0.08928219042679957
1.86,8.000000000007914,0.08900493585951863
1.8800000000000001,8.000000000010079,0.08873209467700338
1.9000000000000001,8.000000000012792,0.08846356415295549
1.92,8.000000000016168,0.08819924481050795
1.94,8.000000000020355,0.08793904029170388
1.96,8.00000000002554,0.08768285723331026
1.98,8.000000000031928,0.08743060514860669
2.0,8.000000000039774,0.08718219631481318
2.02,8.000000000049381,0.08693754566584212
2.04,8.000000000061107,0.08669657069007985
2.06,8.000000000075367,0.08645919133292215
2.08,8.000000000092657,0.08622532990380444
2.1,8.000000000113557,0.08599491098748473
2.12,8.000000000138746,0.08576786135935136
2.14,8.000000000169022,0.08554410990454189
2.16,8.0000000002053,0.08532358754067243
2.18,8.000000000248654,0.085106227143989
2.2,8.000000000300329,0.0848919634787631
2.22,8.000000000361748,0.08468073312976514
2.24,8.000000000434563,0.0844724744376584
