z,active_density_mean,active_density_sem,inactive_density_mean,inactive_density_sem,n_times
-164.0,0.0,0.0,0.0,0.0,5
-162.0,0.0,0.0,0.0,0.0,5
-160.0,0.0,0.0,0.0,0.0,5
-158.0,9.585491690843975e-11,9.585491690843975e-11,0.40232108125134375,0.40232108125134375,5
-156.0,1.06177355715373e-10,1.0617735571537298e-10,0.4034248351250964,0.4034248351250964,5
-154.0,1.259992093876247e-10,1.259992093876247e-10,0.40538848651139753,0.4053884865113975,5
-152.0,1.5766389599102626e-10,1.5766389599102623e-10,0.40694936914270396,0.40694936914270396,5
-150.0,2.0467060969114043e-10,2.0467060969114043e-10,0.4062902288114446,0.40629022881144455,5
-148.0,2.7131691145473425e-10,2.7131691145473425e-10,0.40414253372376246,0.4041425337237624,5
-146.0,3.627972971728254e-10,3.6279729717282534e-10,0.40235176041576814,0.40235176041576814,5
-144.0,4.860963739728827e-10,4.860963739728827e-10,0.40133496574209726,0.40133496574209726,5
-142.0,6.509469516522292e-10,6.509469516522292e-10,0.4008098365655905,0.4008098365655905,5
-140.0,8.70692461567591e-10,8.70692461567591e-10,0.40054180361295444,0.40054180361295444,5
-138.0,1.163353987077682e-09,1.163353987077682e-09,0.4004052981699286,0.4004052981699286,5
-136.0,4.0793157412420245e-09,2.613844735021232e-09,0.8024507079838037,0.49140070666563546,5
-134.0,4.758233880668566e-09,2.9539564663504078e-09,0.803051511997495,0.4917704236782912,5
-132.0,5.840301182850461e-09,3.5849966238832107e-09,0.8046190549864054,0.4927369456107592,5
-130.0,7.428936532600534e-09,4.549519338037189e-09,0.8066351974611798,0.49398459288044005,5
-128.0,9.678540729911534e-09,5.927983447395662e-09,0.8071969900764435,0.49433319713584295,5
-126.0,1.2794806460345608e-08,7.838747320781816e-09,0.8055314432388885,0.49330105693893106,5
-124.0,1.7036273921875417e-08,1.0437666307294952e-08,0.8034109937543816,0.49199200187562286,5
-122.0,2.2740347233276644e-08,1.3931458002291255e-08,0.8020290115029237,0.49114188144782434,5
-120.0,3.036490149075639e-08,1.8601052295647605e-08,0.8012955979362426,0.49069170669457524,5
-118.0,4.053130798605087e-08,2.4827304280797823e-08,0.8009202831907078,0.49046159984166093,5
-116.0,5.4075418427154626e-08,3.312223807256778e-08,0.800728974965455,0.49034437702080264,5
-114.0,7.211559555433655e-08,4.417079583931869e-08,0.8006316894660724,0.4902847838764566,5
-112.0,1.6657695174367466e-07,7.101114590218052e-08,1.2027737285581004,0.4910333837190818,5
-110.0,2.0421508199025755e-07,8.409779736941894e-08,1.2036138063612476,0.49137982069763675,5
-108.0,2.587670593832916e-07,1.0568302400339202e-07,1.205400272597118,0.4921203813804163,5
-106.0,3.351951286987875e-07,1.3697769600798287e-07,1.2072600013994879,0.4928970182924747,5
-104.0,4.404628569801188e-07,1.803192642087856e-07,1.2072110130880307,0.49287653682673205,5
-102.0,5.836903398879865e-07,2.39184737266137e-07,1.2052323328621841,0.49205066243718215,5
-100.0,7.765979337482257e-07,3.1831122375062936e-07,1.2032542926421423,0.49123161439658425,5
-98.0,1.0347311308138317e-06,4.240895757832693e-07,1.2020640137368481,0.4907419349992474,5
-96.0,1.3790744316871154e-06,5.651452838880976e-07,1.2014428213567299,0.4904873292915883,5
-94.0,1.8378643754450333e-06,7.53059916504323e-07,1.201125216494915,0.4903574065537945,5
-92.0,2.44889670925844e-06,1.0033168056236573e-06,1.200963046134189,0.4902911334464731,5
-90.0,5.30800603059219e-06,1.6227670305112259e-06,1.6029675811978918,0.4007456670839782,5
-88.0,6.4639791739390944e-06,1.7470678248783293e-06,1.6033419912831868,0.4008412901745977,5
-86.0,8.132660693771016e-06,2.0810483302305055e-06,1.6046669119905552,0.4011817027140755,5
-84.0,1.0460917126875374e-05,2.6330327255149093e-06,1.6067034640286182,0.40171289107443164,5
-82.0,1.3657339496419844e-05,3.4304279785630087e-06,1.6078130063765876,0.40200642115109975,5
-80.0,1.8002171275593075e-05,4.527021799072996e-06,1.6065919408193683,0.40168379105713853,5
-78.0,2.3857625279721228e-05,6.005690170110014e-06,1.604398342772484,0.40111272346191534,5
-76.0,3.169786126442567e-05,7.983501364556238e-06,1.602804295807075,0.4007047278854694,5
-74.0,4.215866809736727e-05,1.0620565148708474e-05,1.6019291745528013,0.4004832478703352,5
-72.0,5.609528555113479e-05,1.4132536213119345e-05,1.6014715313369254,0.40036812977514863,5
-70.0,7.465291611703407e-05,1.8807795591494633e-05,1.6012269461751742,0.4003068002227876,5
-68.0,9.936009685021829e-05,2.5030830744047378e-05,1.6010875708441439,0.4002719091487538,5
-66.0,0.00020003269651325256,3.4953902556357846e-05,2.0032561792406636,0.0020108112405783475,5
-64.0,0.00024856777360893526,2.901108328689038e-05,2.004282944206202,0.003127231475056028,5
-62.0,0.0003160656022250043,2.418235788335059e-05,2.0061657592668896,0.005099600270299123,5
-60.0,0.0004085545943632504,2.0770799089087732e-05,2.0076288222497847,0.006666583862476092,5
-58.0,0.0005341821401369135,1.9321284033617735e-05,2.0068432270456835,0.006011625618435704,5
-56.0,0.0007034926687997836,2.0099040632629665e-05,2.004528244624286,0.003866726232582799,5
-54.0,0.0009301940570551878,2.298125404709634e-05,2.002514970693345,0.00207800741402415,5
