segment_id,seed,x0,y0,x1,y1,branch_id
0,1000,0.0,75.0,1.0,75.0,0
1,1000,1.0,75.0,1.9999097241285662,75.01343665111308,0
2,1000,1.9999097241285662,75.01343665111308,2.999898104327357,75.00861591803618,0
3,1000,2.999898104327357,75.00861591803618,3.999810336590925,75.02186460739358,0
4,1000,3.999810336590925,75.02186460739358,4.992130961452112,74.8981723381319,0
5,1000,4.992130961452112,74.8981723381319,5.987943777250448,74.80675660703604,0
6,1000,5.987943777250448,74.80675660703604,6.982915194878703,74.90691587072553,0
7,1000,6.982915194878703,74.90691587072553,7.978449536681343,74.81251579502862,0
8,1000,7.978449536681343,74.81251579502862,8.978374242489581,74.82478700989547,0
9,1000,8.978374242489581,74.82478700989547,9.963315005732156,74.65189486749699,0
10,1000,9.963315005732156,74.65189486749699,10.960283800857457,74.57409241543793,0
11,1000,10.960283800857457,74.57409241543793,11.93608913119602,74.7927335764366,0
12,1000,11.93608913119602,74.7927335764366,12.876990896368433,75.13141317177036,0
13,1000,12.876990896368433,75.13141317177036,13.876093938398448,75.17375831796647,0
14,1000,13.876093938398448,75.17375831796647,14.875573519190366,75.14150048821908,0
15,1000,14.875573519190366,75.14150048821908,15.845517562057022,75.38482856655672,0
16,1000,15.845517562057022,75.38482856655672,16.845366697201158,75.40219828018496,0
17,1000,16.845366697201158,75.40219828018496,17.822682650748234,75.61398479283949,0
18,1000,17.822682650748234,75.61398479283949,18.820668392350118,75.5505461645493,0
19,1000,18.820668392350118,75.5505461645493,19.81421735671125,75.43714221657164,0
20,1000,19.81421735671125,75.43714221657164,20.726556966249532,75.02770792774433,0
21,1000,20.726556966249532,75.02770792774433,21.653370499823517,74.65218605889498,0
22,1000,20.726556966249532,75.02770792774433,21.34144009647115,74.2390896828572,1
23,1000,21.34144009647115,74.2390896828572,22.148436713988826,73.64853362343945,1
24,1000,22.148436713988826,73.64853362343945,22.97156203775922,73.08067386842252,1
25,1000,22.97156203775922,73.08067386842252,23.830147930031668,72.5680041252245,1
26,1000,23.830147930031668,72.5680041252245,24.803490646386813,72.33864860094312,1
27,1000,24.803490646386813,72.33864860094312,25.779589712280234,72.12132254736925,1
28,1000,25.779589712280234,72.12132254736925,26.720528588018304,71.78274606837996,1
29,1000,26.720528588018304,71.78274606837996,27.576363224998236,71.2654965404484,1
30,1000,27.576363224998236,71.2654965404484,28.334646381295077,70.61357119589083,1
31,1000,28.334646381295077,70.61357119589083,29.09974081970463,69.969653110794,1
32,1000,29.09974081970463,69.969653110794,29.72557013390883,69.18969306727722,1
33,1000,29.72557013390883,69.18969306727722,30.29750849282227,68.36939646628255,1
