time,front_mean_all,front_sem_all,front_mean_alive,front_sem_alive,n_total,n_alive,survival_fraction,active_tips_mean_all,active_tips_mean_alive
0.0,0.0,0.0,0.0,0.0,100,100,1.0,1.0,1.0
1.0,1.0,0.0,1.0,0.0,100,100,1.0,1.11,1.11
2.0,1.9810114532280807,0.0015691072988670226,1.9810114532280807,0.0015691072988670226,100,100,1.0,1.25,1.25
3.0,2.942389565283203,0.005323061931731719,2.942389565283203,0.005323061931731719,100,100,1.0,1.33,1.33
4.0,3.89435678742452,0.009387214784066608,3.89435678742452,0.009387214784066608,100,100,1.0,1.44,1.44
5.0,4.8357135150755655,0.015613517649140405,4.8357135150755655,0.015613517649140405,100,100,1.0,1.62,1.62
6.0,5.761167423276538,0.024616355393115488,5.761167423276538,0.024616355393115488,100,100,1.0,1.83,1.83
7.0,6.581237238732258,0.03929150343069677,6.581237238732258,0.03929150343069677,100,100,1.0,1.55,1.55
8.0,7.4275849926590105,0.05675924825266661,7.4275849926590105,0.05675924825266661,100,100,1.0,1.56,1.56
9.0,8.26741154667137,0.0768825359196931,8.284336808578912,0.0757578031193716,100,99,0.99,1.57,1.5858585858585859
10.0,9.069073935267529,0.09934272914070003,9.09409679705988,0.09711572215999055,100,99,0.99,1.66,1.6767676767676767
11.0,9.85996447301524,0.12133018173699175,9.892976128118173,0.11793825619009093,100,99,0.99,1.75,1.7676767676767677
12.0,10.625811395227505,0.1442587317373118,10.666558877827534,0.13978928874989713,100,99,0.99,1.74,1.7575757575757576
13.0,11.369967441729573,0.16565005922939996,11.418337401180613,0.16171352654119342,100,98,0.98,1.64,1.6734693877551021
14.0,12.093221874323422,0.18596235245500975,12.156352128317195,0.18094474649178421,100,98,0.98,1.62,1.653061224489796
15.0,12.80025165187767,0.21021725444525347,12.954869861565678,0.19107380838210974,100,97,0.97,1.68,1.731958762886598
16.0,13.504646284277566,0.2364578550326935,13.681049894967627,0.21556058601701666,100,97,0.97,1.75,1.8041237113402062
17.0,14.20278896863877,0.26310931074769855,14.39424907321093,0.24543885399252993,100,95,0.95,1.65,1.736842105263158
18.0,14.839313175501143,0.28819053034064,15.164226213328995,0.252897946466881,100,94,0.94,1.55,1.648936170212766
19.0,15.470598692045835,0.31425275900264615,15.820904395500255,0.27963604228142147,100,93,0.93,1.62,1.7419354838709677
20.0,16.094013280765285,0.3416363282444979,16.491242662940525,0.30582910956284043,100,93,0.93,1.64,1.7634408602150538
21.0,16.689084676943377,0.36943162749970826,17.13110437926105,0.33251080544194606,100,93,0.93,1.69,1.8172043010752688
22.0,17.27068802893847,0.39560642835480014,17.75648432764287,0.3569688540584058,100,93,0.93,1.68,1.8064516129032258
23.0,17.867292323258475,0.4222580587257633,18.397994321535347,0.3815235346282374,100,93,0.93,1.55,1.6666666666666667
24.0,18.457333007831508,0.45005284914960964,19.03244667053861,0.40741690930146446,100,93,0.93,1.59,1.7096774193548387
25.0,19.019134162177213,0.4775978511490915,19.618808975419178,0.43764022456515667,100,92,0.92,1.64,1.7826086956521738
26.0,19.552314101797236,0.5085416909702898,20.274651120379275,0.46755827409256956,100,91,0.91,1.7,1.8681318681318682
27.0,20.074114807928183,0.539137727332087,20.848058489753942,0.4978205022111125,100,91,0.91,1.63,1.7912087912087913
28.0,20.570058508300527,0.5694163799879243,21.5129431362903,0.5159627252705128,100,89,0.89,1.56,1.752808988764045
29.0,21.078545275960547,0.5989313198619252,22.08427658309931,0.5451194841133667,100,89,0.89,1.6,1.797752808988764
30.0,21.60321430994381,0.6283671647047933,22.673792351619838,0.5735081272662531,100,89,0.89,1.52,1.7078651685393258
31.0,22.119758620478986,0.6582672189702581,23.39192034171315,0.5932396575669912,100,88,0.88,1.49,1.6931818181818181
32.0,22.635016094486236,0.6871696863874837,24.124073039308502,0.6095608975034775,100,87,0.87,1.53,1.7586206896551724
33.0,23.128335513388958,0.7136358252084607,24.691106854139214,0.6328489638043895,100,87,0.87,1.5,1.7241379310344827
34.0,23.6117647292072,0.740318434095532,25.18226551740592,0.6611015746677352,100,86,0.86,1.42,1.6511627906976745
35.0,24.09418695640089,0.7681124252707452,25.743221595538127,0.687450259175571,100,86,0.86,1.41,1.6395348837209303
36.0,24.541846686463074,0.7951140305955152,26.235690881877034,0.7214045527079311,100,85,0.85,1.48,1.7411764705882353
37.0,24.980696576928427,0.822819044669983,26.75201645255385,0.758157957937513,100,84,0.84,1.55,1.8452380952380953
38.0,25.405255048534105,0.8514043111220747,27.25744320446537,0.7878420510054123,100,84,0.84,1.55,1.8452380952380953
39.0,25.83328671115934,0.8806867471331268,27.76700470759065,0.8182131363928191,100,84,0.84,1.47,1.75
40.0,26.242906703514826,0.9101392102623906,28.414684957251758,0.8441211989931231,100,83,0.83,1.5,1.8072289156626506
41.0,26.646609922826073,0.9407350983016342,28.90107437810869,0.8767318185844778,100,83,0.83,1.55,1.8674698795180722
42.0,27.064526763456765,0.9720302753755614,29.404588643928804,0.9096807906107073,100,83,0.83,1.59,1.9156626506024097
43.0,27.462500625691845,1.004749569909466,29.884075224934925,0.9453876092379274,100,83,0.83,1.57,1.891566265060241
44.0,27.831386448467924,1.0339991022167747,30.542368593864776,0.9646393328827042,100,82,0.82,1.55,1.8902439024390243
45.0,28.209300937274396,1.062273444888501,31.25531662454372,0.9731951314906837,100,81,0.81,1.47,1.8148148148148149
46.0,28.567503761499943,1.0905805818880547,31.922635358402562,0.9897443004395403,100,80,0.8,1.42,1.775
47.0,28.940245508150007,1.1204472073864744,32.388562541715146,1.021229988277773,100,80,0.8,1.51,1.8875
48.0,29.316002025699213,1.1504875963845251,32.85825818865165,1.052716188647289,100,80,0.8,1.55,1.9375
49.0,29.67553983716789,1.1798606510406906,33.3076804529875,1.0837988970161299,100,80,0.8,1.57,1.9625
50.0,30.029410318982404,1.2082396426781452,33.75001855525564,1.1133786693418173,100,80,0.8,1.56,1.95
51.0,30.396652052044985,1.2360679407943658,34.20907072158387,1.1412234684541274,100,80,0.8,1.52,1.9
52.0,30.775211276121325,1.2651122436169346,34.68226975167929,1.1704476225637863,100,80,0.8,1.58,1.975
53.0,31.154986831053385,1.2941114869528325,35.15698919534437,1.1994484644921228,100,80,0.8,1.65,2.0625
54.0,31.560006331824496,1.32507756674027,35.66326357130826,1.2303587892951156,100,80,0.8,1.59,1.9875
55.0,31.95387252145441,1.3556621926888734,36.44085345790496,1.2753483838487234,100,78,0.78,1.61,2.0641025641025643
56.0,32.351429394492875,1.3861103897580729,36.95054175667223,1.3053648563762248,100,78,0.78,1.75,2.2435897435897436
57.0,32.745163979351084,1.4153414581863564,37.61987596304446,1.340496529100702,100,77,0.77,1.76,2.2857142857142856
58.0,33.15874287898682,1.4444636656011471,38.344758906513356,1.3717387653026998,100,76,0.76,1.73,2.276315789473684
59.0,33.57861361643563,1.472374333588113,38.89722040315653,1.3948786513620186,100,76,0.76,1.78,2.3421052631578947
60.0,33.94723702915236,1.4975090483799234,39.39166868297174,1.439602073560712,100,74,0.74,1.75,2.364864864864865
61.0,34.326643339766434,1.5230958468533617,39.90437991353131,1.4617393973632418,100,74,0.74,1.88,2.5405405405405403
62.0,34.69314248012863,1.5464535348745296,40.792764688671,1.446915268519053,100,73,0.73,1.9,2.6027397260273974
63.0,35.05684483991524,1.568810776126384,41.2909870993376,1.4626704368395351,100,73,0.73,1.84,2.5205479452054793
64.0,35.4130136357506,1.5916858626163806,41.77888955938603,1.4799313902306874,100,73,0.73,1.79,2.452054794520548
65.0,35.76232082135608,1.6143312418563998,42.039913184330416,1.501993522023136,100,72,0.72,1.77,2.4583333333333335
66.0,36.10045459428577,1.6377322951774815,42.84309831892138,1.5070768708045774,100,71,0.71,1.74,2.4507042253521125
67.0,36.423741731315,1.659682724496506,43.57626408903559,1.5214788066243594,100,70,0.7,1.65,2.357142857142857
68.0,36.76467649208619,1.682592640947932,44.06331374728015,1.5394280673005398,100,70,0.7,1.69,2.414285714285714
69.0,37.121987670888565,1.7070708604344542,45.028116883332366,1.5131979150148995,100,69,0.69,1.64,2.3768115942028984
70.0,37.49005578204108,1.7335825501838429,45.561548928480946,1.535218785232784,100,69,0.69,1.67,2.420289855072464
71.0,37.87013579379031,1.7607804285151372,46.547456812789186,1.5174776885466017,100,68,0.68,1.62,2.3823529411764706
72.0,38.22763530151878,1.7868841323692606,47.07319138297811,1.5383341263616581,100,68,0.68,1.67,2.4558823529411766
73.0,38.5846857261766,1.8129364261763468,47.59826553688667,1.5589416229280575,100,68,0.68,1.68,2.4705882352941178
74.0,38.938416521898624,1.8388364924540013,48.33569975968211,1.5879333001792653,100,67,0.67,1.55,2.3134328358208953
75.0,39.28766179683398,1.865697292790959,48.85696136406322,1.6107489629316905,100,67,0.67,1.57,2.343283582089552
76.0,39.63427699151931,1.8924095762662057,49.374297475533865,1.633372566393078,100,67,0.67,1.63,2.4328358208955225
77.0,39.99234675177264,1.9199593923466385,50.02087027645946,1.6778991663885765,100,66,0.66,1.64,2.484848484848485
78.0,40.35227521767645,1.949505597669044,50.566216436919795,1.7056806241450926,100,66,0.66,1.62,2.4545454545454546
79.0,40.681269888504154,1.9773035448087977,51.38397448241281,1.7297444115905354,100,65,0.65,1.58,2.4307692307692306
80.0,41.04023701110097,2.006415847713996,51.936231594100214,1.755459757659273,100,65,0.65,1.61,2.476923076923077
81.0,41.402356795232684,2.0359442031849255,52.49333895430284,1.7816595123326628,100,65,0.65,1.72,2.646153846153846
82.0,41.742590473508706,2.0647459445366367,53.01677538241981,1.8089955067691648,100,65,0.65,1.78,2.7384615384615385
83.0,42.10522113815539,2.0957865364598436,53.57466871264546,1.8388985289314699,100,65,0.65,1.77,2.723076923076923
84.0,42.46322236846467,2.1268529523586253,54.12543983619821,1.8694036296063974,100,65,0.65,1.8,2.769230769230769
85.0,42.838091271365975,2.1588243979192114,54.70216122527712,1.8996704310469652,100,65,0.65,1.8,2.769230769230769
86.0,43.20366224798317,2.1889446451903076,55.26457811238051,1.9261750772512785,100,65,0.65,1.77,2.723076923076923
87.0,43.578889394707154,2.2203843753357178,55.84185064580204,1.9546509017513636,100,65,0.65,1.82,2.8
88.0,43.94972463307427,2.2508402496958153,56.41236639713606,1.980989383145999,100,65,0.65,1.89,2.9076923076923076
89.0,44.30908198357932,2.279648351090877,56.96522385945152,2.004478225134722,100,65,0.65,1.82,2.8
90.0,44.671185725862,2.3088059467420403,57.52230653988642,2.0283731217025043,100,65,0.65,1.81,2.7846153846153845
91.0,45.01863387552449,2.336423628634263,58.05684215475176,2.0502130176490514,100,65,0.65,1.84,2.830769230769231
92.0,45.38323818846765,2.3652930434829234,58.617771866972014,2.0727108796453404,100,65,0.65,1.79,2.753846153846154
93.0,45.74180616112358,2.393195031074595,59.1694149018273,2.093391560254016,100,65,0.65,1.79,2.753846153846154
94.0,46.09462301828053,2.420944502032368,59.302941152707,2.10711744080123,100,64,0.64,1.89,2.953125
95.0,46.44739095991585,2.449058650353149,59.85414106151218,2.131492641368352,100,64,0.64,1.88,2.9375
96.0,46.78312299065076,2.475543074813468,60.37872235953547,2.1537551650803755,100,64,0.64,1.84,2.875
97.0,47.12139169372759,2.5026291996439936,60.907267208093025,2.1771588232333023,100,64,0.64,1.85,2.890625
98.0,47.44961283788339,2.5297454546339857,61.420112745836484,2.2020736485382293,100,64,0.64,1.85,2.890625
99.0,47.78763011740876,2.5582819411951823,62.43743626160889,2.2097753918754415,100,63,0.63,1.8,2.857142857142857
100.0,48.14005686945574,2.5879820620458345,62.9968438045406,2.2370231075783837,100,63,0.63,1.75,2.7777777777777777
101.0,48.49018307935688,2.618542847232671,63.534022561967525,2.303805140054275,100,62,0.62,1.71,2.7580645161290325
102.0,48.83611313103449,2.64918133485619,64.30035162656748,2.3642642687740696,100,61,0.61,1.7,2.7868852459016393
103.0,49.1671168074126,2.6772566271002223,64.84298060423652,2.3901081844951904,100,61,0.61,1.68,2.7540983606557377
104.0,49.49474235767595,2.7058570525302277,65.78007289618265,2.424728260915383,100,60,0.6,1.65,2.75
105.0,49.80972573836388,2.7355175889117267,66.30504519732919,2.4574349755723714,100,60,0.6,1.56,2.6
106.0,50.1398723345985,2.766341266318544,67.3012354920753,2.492331666933014,100,59,0.59,1.52,2.5762711864406778
107.0,50.461571168690256,2.795628837066857,68.18225609481622,2.542561178474579,100,58,0.58,1.6,2.7586206896551726
108.0,50.785129442780246,2.8259368808629945,69.38923542024054,2.6128163884642985,100,56,0.56,1.61,2.875
109.0,51.110336767045304,2.8563386600916747,69.96996278499957,2.6432014562740025,100,56,0.56,1.53,2.732142857142857
110.0,51.433658733325366,2.886718726104216,70.5473234390711,2.673705549586834,100,56,0.56,1.6,2.857142857142857
111.0,51.75902531854069,2.917618904486084,71.12833519838419,2.7053043122198015,100,56,0.56,1.61,2.875
112.0,52.054617061456526,2.944718008745588,71.97788555811509,2.8130586173880783,100,54,0.54,1.54,2.8518518518518516
113.0,52.34775708948607,2.972860990527691,73.2387440387221,2.8025071840945834,100,53,0.53,1.49,2.811320754716981
114.0,52.629815302459185,2.99976949003843,73.77092934621852,2.828637251733897,100,53,0.53,1.46,2.7547169811320753
115.0,52.914122234185115,3.0253867676646466,74.08711833957797,2.8956435152720608,100,52,0.52,1.42,2.730769230769231
116.0,53.18079466667446,3.0508890787592966,74.59994994051901,2.9214606299414343,100,52,0.52,1.47,2.826923076923077
