time,x,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_seeds
120.0,1.1666666666666667,0.0,0.0,0.012400000000000001,0.0011952079125559032,100
120.0,3.5,0.0,0.0,0.02031428571428571,0.0017466379637630861,100
120.0,5.833333333333334,2.857142857142857e-05,2.8571428571428567e-05,0.02154285714285715,0.001980910755473421,100
120.0,8.166666666666668,8.571428571428571e-05,6.362900095817532e-05,0.02137142857142857,0.0019422628749070543,100
120.0,10.5,5.714285714285714e-05,4.0201512610368476e-05,0.02117142857142857,0.0017363158774316948,100
120.0,12.833333333333334,5.714285714285714e-05,5.7142857142857135e-05,0.021971428571428572,0.0020641914676628546,100
120.0,15.166666666666668,2.857142857142857e-05,2.8571428571428567e-05,0.01925714285714286,0.0022808823385751936,100
120.0,17.5,5.714285714285714e-05,4.020151261036847e-05,0.01925714285714286,0.002188261632288542,100
120.0,19.833333333333336,0.0,0.0,0.01985714285714286,0.0021956930161267586,100
120.0,22.166666666666668,2.857142857142857e-05,2.8571428571428567e-05,0.021914285714285716,0.0026195764912690686,100
120.0,24.5,0.00011428571428571428,9.007658392131569e-05,0.020085714285714283,0.0022263040228468105,100
120.0,26.833333333333336,8.571428571428571e-05,6.362900095817532e-05,0.01748571428571428,0.0019409038649098765,100
120.0,29.166666666666668,2.857142857142857e-05,2.8571428571428567e-05,0.015885714285714284,0.0020616433054591547,100
120.0,31.500000000000004,5.714285714285714e-05,4.0201512610368476e-05,0.01782857142857143,0.0026465287860786978,100
120.0,33.833333333333336,8.571428571428571e-05,6.362900095817534e-05,0.014771428571428569,0.0019657152085638297,100
120.0,36.16666666666667,0.00011428571428571428,6.939381786844633e-05,0.015085714285714287,0.0020072349041456335,100
120.0,38.5,8.571428571428571e-05,4.8984745142218657e-05,0.015857142857142854,0.0022192259742901182,100
120.0,40.833333333333336,0.00022857142857142857,0.0001049584932342285,0.014571428571428574,0.002049681836228994,100
120.0,43.16666666666667,0.0,0.0,0.0128,0.001904103782408575,100
120.0,45.5,0.00011428571428571428,0.0001142857142857143,0.013657142857142857,0.0021506179808239794,100
120.0,47.833333333333336,8.571428571428571e-05,6.362900095817531e-05,0.012914285714285717,0.0019414136051417903,100
120.0,50.16666666666667,5.714285714285714e-05,4.020151261036847e-05,0.011914285714285712,0.0020865838587381257,100
120.0,52.5,0.00011428571428571428,6.939381786844633e-05,0.012285714285714289,0.002050084089561534,100
120.0,54.833333333333336,8.571428571428571e-05,6.362900095817534e-05,0.010742857142857143,0.0018917826185860611,100
120.0,57.16666666666667,2.857142857142857e-05,2.8571428571428574e-05,0.009628571428571429,0.0016211623571275604,100
120.0,59.5,0.00011428571428571428,6.939381786844633e-05,0.010085714285714285,0.0018664789197923646,100
120.0,61.83333333333334,5.714285714285714e-05,4.020151261036847e-05,0.008657142857142858,0.0013379357795021967,100
120.0,64.16666666666667,0.0,0.0,0.0077714285714285715,0.0011937306165935365,100
120.0,66.5,0.00017142857142857143,6.819521616455488e-05,0.0068571428571428585,0.0011964353018268199,100
120.0,68.83333333333334,0.00011428571428571428,6.939381786844631e-05,0.006714285714285715,0.001176541826695913,100
120.0,71.16666666666667,2.857142857142857e-05,2.8571428571428567e-05,0.0065428571428571445,0.001285662977972569,100
120.0,73.5,0.00011428571428571428,6.939381786844633e-05,0.006999999999999999,0.0014273443503425346,100
120.0,75.83333333333334,0.00017142857142857143,7.937085116097553e-05,0.005657142857142857,0.0012148873817095411,100
120.0,78.16666666666667,8.571428571428571e-05,4.8984745142218657e-05,0.005828571428571429,0.0014212916972393518,100
120.0,80.5,0.00014285714285714284,7.460470969529909e-05,0.005228571428571429,0.0015431964781021236,100
120.0,82.83333333333334,2.857142857142857e-05,2.8571428571428574e-05,0.004857142857142857,0.0011773300121607918,100
120.0,85.16666666666667,0.00034285714285714285,0.00013020447582412097,0.005371428571428572,0.0013525394700098206,100
120.0,87.5,0.00011428571428571428,5.627039587626639e-05,0.003371428571428572,0.0009698654770101813,100
120.0,89.83333333333334,0.00011428571428571428,6.939381786844633e-05,0.0029142857142857143,0.0008775633889047975,100
120.0,92.16666666666667,0.00034285714285714285,0.00014230774587916439,0.0022,0.0006841914306918784,100
