time,x,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_seeds
120.0,1.1666666666666667,0.0,0.0,0.01017142857142857,0.0011197667395580239,50
120.0,3.5,0.0,0.0,0.020057142857142857,0.0026382506541177083,50
120.0,5.833333333333334,5.714285714285714e-05,5.7142857142857135e-05,0.023142857142857142,0.003329221398270253,50
120.0,8.166666666666668,0.00017142857142857143,0.00012672795670416346,0.022571428571428572,0.0031012351263039377,50
120.0,10.5,0.00011428571428571428,7.998333853985888e-05,0.019771428571428572,0.0023259433558867754,50
120.0,12.833333333333334,0.00011428571428571428,0.00011428571428571426,0.021542857142857145,0.0028538873581300706,50
120.0,15.166666666666668,5.714285714285714e-05,5.714285714285713e-05,0.020171428571428576,0.0026292938543320257,50
120.0,17.5,0.00011428571428571428,7.998333853985888e-05,0.026000000000000006,0.0036600662513946495,50
120.0,19.833333333333336,0.0,0.0,0.026114285714285722,0.0034624275922133427,50
120.0,22.166666666666668,5.714285714285714e-05,5.7142857142857135e-05,0.02931428571428571,0.004102647939638262,50
120.0,24.5,0.00022857142857142857,0.0001795918367346939,0.027257142857142855,0.0033620465396259143,50
120.0,26.833333333333336,0.00017142857142857143,0.00012672795670416346,0.023199999999999988,0.0025667466284956496,50
120.0,29.166666666666668,5.714285714285714e-05,5.7142857142857135e-05,0.023599999999999996,0.0032333229567696833,50
120.0,31.500000000000004,0.00011428571428571428,7.998333853985888e-05,0.028799999999999996,0.004412575267512372,50
120.0,33.833333333333336,0.00017142857142857143,0.00012672795670416346,0.022857142857142864,0.0027791093111100736,50
120.0,36.16666666666667,0.00022857142857142857,0.00013756979221512421,0.0236,0.0029100752755076963,50
120.0,38.5,0.00017142857142857143,9.693340479214624e-05,0.025199999999999997,0.0034803572083014823,50
120.0,40.833333333333336,0.0004571428571428572,0.00020586971776193454,0.02468571428571429,0.0032752501645141457,50
120.0,43.16666666666667,0.0,0.0,0.022628571428571425,0.0030781464264619585,50
120.0,45.5,0.00022857142857142857,0.00022857142857142854,0.023371428571428567,0.0034292419169472325,50
