z,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_samples
-164.0,0.0,0.0,0.02285714285714286,0.008463607567770643,16
-162.0,0.0,0.0,0.01857142857142857,0.005606119105813882,6
-160.0,0.0,0.0,0.023516483516483517,0.00946034078349221,13
-158.0,0.0,0.0,0.02190476190476191,0.005899492931162234,21
-156.0,0.0,0.0,0.021490683229813668,0.003784420435462084,23
-154.0,0.0,0.0,0.01904761904761905,0.003754782680845933,24
-152.0,0.0,0.0,0.0194047619047619,0.003198912704710659,24
-150.0,0.0,0.0,0.0184,0.0028717720713754375,25
-148.0,0.0,0.0,0.01591836734693878,0.0038864916617920263,7
-146.0,0.0,0.0,0.02031746031746032,0.00438806443106615,18
-144.0,0.0,0.0,0.023448275862068966,0.005296818338854479,29
-142.0,0.0,0.0,0.02304147465437788,0.004410244987929923,31
-140.0,0.0,0.0,0.02519480519480519,0.004438918483301974,33
-138.0,0.0,0.0,0.022367346938775505,0.00360735488763537,35
-136.0,0.0,0.0,0.020571428571428567,0.003170780678551128,35
-134.0,0.0,0.0,0.03015873015873014,0.011790990748744847,9
-132.0,0.0,0.0,0.024387755102040824,0.004606259368744267,28
-130.0,0.0,0.0,0.025296167247386758,0.004874289243139099,41
-128.0,0.0,0.0,0.02790697674418604,0.004229539785415667,43
-126.0,0.0,0.0,0.03003322259136212,0.004923417024136455,43
-124.0,0.0,0.0,0.02298701298701299,0.003108755637295019,44
-122.0,0.0,0.0,0.022919254658385083,0.0031854063490976145,46
-120.0,0.0,0.0,0.01542857142857143,0.0022554385875792693,20
-118.0,0.0,0.0,0.025204081632653055,0.004259312913430541,28
-116.0,0.0,0.0,0.022857142857142857,0.003246071587280032,48
-114.0,0.0,0.0,0.02194285714285715,0.0031557540842192767,50
-112.0,0.0,0.0,0.021703296703296706,0.0025294274032234103,52
-110.0,0.0,0.0,0.02285714285714286,0.0031941677078019064,55
-108.0,0.0,0.0,0.020774818401937043,0.00247877042325817,59
-106.0,0.0,0.0,0.033174603174603176,0.00872302569133127,18
