metrica,media,desviacion,ic95_inf,ic95_sup
segmentos,567.33,631.6942754820308,441.98815103684547,692.6718489631546
bifurcaciones,57.63,67.23990743238089,44.288143584956835,70.97185641504316
terminaciones,58.63,67.23990743238089,45.288143584956835,71.97185641504316
tiempo_final,197.08,157.19772532859642,165.88856086521736,228.27143913478267
x_max,99.6142587914701,85.23310700793834,82.70216121531708,116.52635636762314
balance_term_bif,1.0,0.0,1.0,1.0
